======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
183.129.255.66:8480       | 黑龙江卫视                | 6.17   Mbps | 18%
183.21.68.120:3388        | 湖南卫视                 | 0.31   Mbps | 100%
183.21.68.120:3388        | CCTV9                | 0.8    Mbps | 100%
183.21.68.120:3388        | 风云音乐                 | 1.09   Mbps | 100%
183.221.211.20:808        | CCTV16奥林匹克           | 10.86  Mbps | 0%
183.221.211.20:808        | CCTV5                | 8.79   Mbps | 0%
183.221.211.20:808        | CCTV5+               | 9.19   Mbps | 0%
183.223.157.33:9901       | 峨眉电影                 | 1.79   Mbps | 100%
183.223.157.33:9901       | 四川新闻                 | 2.22   Mbps | 100%
183.223.157.33:9901       | CCTV11戏曲             | 1.31   Mbps | 100%
183.236.10.36:8083        | CCTV9纪录              | 2.08   Mbps | 100%
183.236.10.36:8083        | 广东体育                 | 1.33   Mbps | 68%
183.237.71.182:40000      | CCTV3综艺              | 3.27   Mbps | 0%
183.237.71.182:40000      | 云南卫视                 | 3.23   Mbps | 0%
183.237.71.182:40000      | 广东影视                 | 3.04   Mbps | 0%
210.76.37.42:1234         | 武术世界                 | 3.73   Mbps | 82%
210.76.37.42:1234         | 广东卫视                 | 4.83   Mbps | 90%
210.76.37.42:1234         | 北京卫视                 | 4.87   Mbps | 25%
218.104.239.114:9901      | CCTV16               | 1.74   Mbps | 100%
218.104.239.114:9901      | 凤凰中文                 | 1.46   Mbps | 100%
218.104.239.114:9901      | CCTV2财经              | 1.66   Mbps | 100%
218.13.170.98:9901        | CCTV15音乐             | 0.39   Mbps | 100%
218.13.170.98:9901        | CCTV2财经              | 0.55   Mbps | 100%
218.13.170.98:9901        | 贵州卫视                 | 0.33   Mbps | 100%
218.19.108.49:808         | CCTV2财经              | 1.99   Mbps | 82%
218.19.108.49:808         | 北京卫视                 | 7.15   Mbps | 0%
218.19.109.116:808        | CCTV1综合              | 2.93   Mbps | 86%
218.19.109.116:808        | 北京卫视                 | 7.31   Mbps | 0%
218.77.62.245:10999       | 广东卫视                 | 3.49   Mbps | 87%
218.77.62.245:10999       | 金鹰纪实                 | 1.14   Mbps | 0%
219.137.203.102:9901      | 广东少儿                 | 0.56   Mbps | 100%
219.137.203.102:9901      | CCTV13新闻             | 0.83   Mbps | 28%
219.137.203.102:9901      | 广东公共                 | 2.99   Mbps | 49%
219.137.203.226:9901      | CCTV15音乐             | 0.34   Mbps | 100%
219.137.203.226:9901      | CCTV6电影              | 0.37   Mbps | 100%
219.137.203.226:9901      | 湖南卫视                 | 1.18   Mbps | 100%
219.139.124.61:8089       | 河南卫视                 | 4.73   Mbps | 19%
219.139.124.61:8089       | CHC电影                | 4.49   Mbps | 26%
